model,smc_standard,smc_cps,cps_rel,is_time
dirichlet_process,107.8,12.2287,0.11343877551020408,10.389
gmm_fixed_numclust,109.0,11.797,0.10822935779816514,6.5924000000000005
gmm_variable_numclust,113.1,12.3595,0.10927939876215739,6.937600000000001
hmm,62.999199999999995,8.364,0.13276359064877016,5.0026
hmm_unrolled,62.13719999999999,9.178799999999999,0.14771827504296942,6.5115
lda_fixed_numtopic,298.6,41.2264,0.13806563965170796,22.2585
lda_variable_numtopic,316.9,41.222300000000004,0.13007983591038186,23.4331
dirichlet_process,108.3,11.9491,0.11033333333333334,10.337900000000001
gmm_fixed_numclust,111.5,12.157,0.10903139013452914,6.9875
gmm_variable_numclust,114.8,12.4015,0.10802700348432057,7.0931
hmm,62.4387,8.2479,0.1320959597172907,4.9298
hmm_unrolled,62.370000000000005,9.2019,0.14753727753727752,6.4739
lda_fixed_numtopic,303.7,41.673700000000004,0.13721995390187686,22.153399999999998
lda_variable_numtopic,353.3,41.4302,0.11726634588168694,23.7937
dirichlet_process,114.6,12.0018,0.10472774869109948,10.4045
gmm_fixed_numclust,111.5,12.0907,0.10843677130044843,6.854000000000001
gmm_variable_numclust,113.8,12.2986,0.10807205623901582,7.3514
hmm,63.35850000000001,8.4245,0.1329655847281738,5.0601
hmm_unrolled,62.7682,9.0158,0.14363642736290033,6.3178
lda_fixed_numtopic,294.3,41.831,0.14213727488956848,22.0727
lda_variable_numtopic,335.7,40.2731,0.11996753053321418,23.3952
dirichlet_process,109.0,12.2844,0.11270091743119266,10.4317
gmm_fixed_numclust,110.5,11.915099999999999,0.10782895927601809,6.8147
gmm_variable_numclust,114.1,12.1249,0.10626555652936022,6.9719999999999995
hmm,63.705799999999996,8.389700000000001,0.13169444540371522,5.0494
hmm_unrolled,62.6752,9.3698,0.1494977279689574,6.590999999999999
lda_fixed_numtopic,312.8,40.9503,0.13091528132992328,22.4226
lda_variable_numtopic,323.3,40.681200000000004,0.1258311166099598,23.0744
dirichlet_process,108.3,12.1357,0.11205632502308403,10.2493
gmm_fixed_numclust,111.5,12.145,0.10892376681614349,6.7226
gmm_variable_numclust,110.3,12.307599999999999,0.11158295557570262,7.0173000000000005
hmm,61.8125,7.9712000000000005,0.1289577350859454,4.898899999999999
hmm_unrolled,63.5788,9.0048,0.14163211636583262,6.3706000000000005
lda_fixed_numtopic,295.0,41.3891,0.1403020338983051,22.3661
lda_variable_numtopic,338.8,40.806799999999996,0.12044510035419125,23.648400000000002
dirichlet_process,109.7,12.2473,0.11164357338195076,10.4124
gmm_fixed_numclust,110.3,11.8919,0.10781414324569356,6.6400999999999994
gmm_variable_numclust,113.0,12.6222,0.11170088495575221,7.0007
hmm,62.4802,8.0487,0.1288200101792248,4.9350000000000005
hmm_unrolled,62.0825,9.1262,0.14700116780091008,6.397
lda_fixed_numtopic,308.9,41.5019,0.1343538361929427,22.1978
lda_variable_numtopic,320.2,40.459199999999996,0.12635602748282324,23.3827
dirichlet_process,107.9,12.0491,0.11166913809082482,10.5216
gmm_fixed_numclust,112.7,12.3112,0.10923868677905944,6.844799999999999
gmm_variable_numclust,113.9,12.439400000000001,0.10921334503950834,7.0483
hmm,63.650099999999995,8.2242,0.1292095377697757,5.0016
hmm_unrolled,63.2149,9.2067,0.14564129659305006,6.3447000000000005
lda_fixed_numtopic,300.6,41.4373,0.1378486360612109,22.3237
lda_variable_numtopic,340.5,41.275,0.12121879588839941,23.3829
dirichlet_process,109.5,12.3218,0.11252785388127853,10.4727
gmm_fixed_numclust,112.8,12.284,0.10890070921985817,6.746899999999999
gmm_variable_numclust,114.8,12.0427,0.10490156794425087,7.007299999999999
hmm,62.6828,8.1762,0.13043769582724446,5.0256
hmm_unrolled,62.53189999999999,9.355599999999999,0.1496132374036292,6.4361999999999995
lda_fixed_numtopic,303.0,40.9011,0.13498712871287127,22.032400000000003
lda_variable_numtopic,328.9,41.2475,0.1254104591061113,23.8232
dirichlet_process,109.0,12.140699999999999,0.11138256880733945,10.378499999999999
gmm_fixed_numclust,111.6,11.8997,0.10662813620071684,6.8691
gmm_variable_numclust,113.1,12.3464,0.10916357206012378,7.051900000000001
hmm,62.70890000000001,8.1918,0.1306321750182191,4.9140999999999995
hmm_unrolled,63.195299999999996,9.102,0.14402969841111604,6.387700000000001
lda_fixed_numtopic,291.3,41.632600000000004,0.14292001373154825,22.017599999999998
lda_variable_numtopic,329.5,40.6184,0.12327283763277694,23.5724
dirichlet_process,111.4,12.061499999999999,0.10827199281867143,10.2522
gmm_fixed_numclust,110.2,11.855500000000001,0.10758166969147007,6.803700000000001
gmm_variable_numclust,116.3,12.638200000000001,0.10866895958727431,7.1063
hmm,64.0068,8.1131,0.12675371991725878,4.9270000000000005
hmm_unrolled,61.3775,9.1617,0.1492680542544092,6.5172
lda_fixed_numtopic,285.3,41.053399999999996,0.1438955485453908,22.157
lda_variable_numtopic,338.7,40.7662,0.12036079126070269,23.8882
