model,smc_standard,smc_cps,cps_rel,is_cps
dirichlet_process,1120.0,122.278,0.10917678571428573,104.418
gmm_fixed_numclust,1153.0,120.963,0.10491153512575889,71.009
gmm_variable_numclust,1137.0,124.454,0.10945822339489886,70.269
hmm,632.547,81.136,0.1282687294382868,49.939
lda_fixed_numtopic,3080.0,418.921,0.13601331168831168,222.05
lda_variable_numtopic,3272.0,409.714,0.1252182151589242,234.119
dirichlet_process,1095.0,123.56,0.11284018264840183,105.141
gmm_fixed_numclust,1105.0,121.811,0.11023619909502264,69.694
gmm_variable_numclust,1123.0,123.246,0.10974710596616206,72.46
hmm,623.357,81.551,0.13082551411149632,50.738
lda_fixed_numtopic,3038.0,412.589,0.13580941408821592,224.163
lda_variable_numtopic,3282.0,409.652,0.12481779402803168,234.555
dirichlet_process,1103.0,121.229,0.10990843155031732,104.649
gmm_fixed_numclust,1102.0,119.43,0.10837568058076226,68.296
gmm_variable_numclust,1154.0,125.219,0.10850866551126516,72.388
hmm,634.732,83.175,0.13103955685234084,50.484
lda_fixed_numtopic,2961.0,411.354,0.1389240121580547,220.959
lda_variable_numtopic,3271.0,412.381,0.12607184347294403,233.718
dirichlet_process,1101.0,122.073,0.11087465940054496,104.303
gmm_fixed_numclust,1114.0,120.624,0.10828007181328546,69.135
gmm_variable_numclust,1146.0,125.984,0.10993368237347294,74.07
hmm,634.177,81.221,0.12807307739006618,48.9
lda_fixed_numtopic,2870.0,416.768,0.14521533101045295,225.739
lda_variable_numtopic,3275.0,409.816,0.1251346564885496,235.119
dirichlet_process,1083.0,121.828,0.11249122807017545,104.722
gmm_fixed_numclust,1128.0,122.649,0.10873138297872341,67.001
gmm_variable_numclust,1125.0,124.215,0.11041333333333334,76.87
hmm,628.258,81.387,0.12954391348777095,49.047
lda_fixed_numtopic,2966.0,423.395,0.1427494942683749,224.149
lda_variable_numtopic,3406.0,409.128,0.12011978860833822,234.806
dirichlet_process,1107.0,122.845,0.11097109304426378,103.137
gmm_fixed_numclust,1121.0,119.028,0.10618019625334524,71.013
gmm_variable_numclust,1118.0,123.673,0.11061985688729875,102.391
hmm,619.237,82.439,0.1331299647792364,49.948
lda_fixed_numtopic,3093.0,407.077,0.13161235046880052,225.854
lda_variable_numtopic,3306.0,402.271,0.12167906836055657,233.52
dirichlet_process,1097.0,123.112,0.1122260711030082,105.711
gmm_fixed_numclust,1125.0,121.672,0.10815288888888888,68.843
gmm_variable_numclust,1128.0,123.874,0.10981737588652482,71.613
hmm,636.672,81.195,0.12753034529553678,50.09
lda_fixed_numtopic,3079.0,409.872,0.13311854498213707,219.545
lda_variable_numtopic,3234.0,409.084,0.1264947433518862,235.656
dirichlet_process,1113.0,123.842,0.11126864330637916,102.818
gmm_fixed_numclust,1142.0,121.555,0.10644045534150613,67.914
gmm_variable_numclust,1156.0,124.068,0.10732525951557093,72.802
hmm,619.064,82.939,0.13397483943501803,49.448
lda_fixed_numtopic,2984.0,409.525,0.1372402815013405,218.795
lda_variable_numtopic,3121.0,406.196,0.13014931111823133,235.403
dirichlet_process,1080.0,120.508,0.11158148148148148,104.871
gmm_fixed_numclust,1123.0,120.067,0.10691629563668743,68.878
gmm_variable_numclust,1136.0,122.154,0.10752992957746478,71.504
hmm,623.673,81.627,0.13088108672333096,50.936
lda_fixed_numtopic,3073.0,412.133,0.1341142206313049,220.289
lda_variable_numtopic,3368.0,409.451,0.12157096199524942,234.771
dirichlet_process,1101.0,122.277,0.1110599455040872,105.716
gmm_fixed_numclust,1122.0,120.4,0.1073083778966132,67.024
gmm_variable_numclust,1134.0,121.523,0.10716313932980599,70.501
hmm,626.709,84.237,0.13441166474392421,50.378
lda_fixed_numtopic,3156.0,416.321,0.1319141318124208,223.257
lda_variable_numtopic,3218.0,414.015,0.12865599751398385,236.235
